Object Type	SUBDATA Allowed	Key/Required Fields	Variable Name	Concise Variable Name	Type of Variable	Description
			OPFAreaXFPS		String	'OPF: Control Phase Shifters in Area of From Bus'
			OwnerName		String	'Owner Name  1'
			OwnerName:1		String	'Owner Name  2'
			OwnerName:2		String	'Owner Name  3'
			OwnerName:3		String	'Owner Name  4'
			OwnerNum		Integer	'Owner Number  1'
			OwnerNum:1		Integer	'Owner Number  2'
			OwnerNum:2		Integer	'Owner Number  3'
			OwnerNum:3		Integer	'Owner Number  4'
			OwnPercent		Real	'Owner  1 Percent Owned'
			OwnPercent:1		Real	'Owner  2 Percent Owned'
			OwnPercent:2		Real	'Owner  3 Percent Owned'
			OwnPercent:3		Real	'Owner  4 Percent Owned'
			PartOfCkt		String	'Multi-Section line to which the branch belongs. Blank if none'
			RegBus		String	'When writing out this field, the option that is used to specify which key field to use in SUBDATA sections is used to identify the regulated bus by either primary, secondary, or label identifiers.  When reading from an AUX file any of these identifiers can be used to identify the regulated bus.'
			SAName		String	'Name of the super area to which the bus' area belongs at From bus'
			SAName:1		String	'Name of the super area to which the bus' area belongs at To Bus'
			Section	Section	Integer	'For Branches which are part of a multi-section, this is the section number of the msline record.  For other branches this will simply be blank.'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			SensdAmpdControl		Real	'Sensitivity of the branch amps due to a specified control change (Amp/control unit).'
			SensdPdControl		Real	'Sensitivity of the branch MW flow due to a specified control change (MW/control unit).'
			SensdQdControl		Real	'Sensitivity of the branch Mvar flow due to a specified control change (Mvar/control unit).'
			SensdSdControl		Real	'Sensitivity of the branch MVA flow due to a specified control change (MVA/control unit).'
			SensdVdControl		Real	'Sensitivity of the bus voltage magnitude due to a specified control change (per unit/control unit). at From bus'
			SensdVdControl:1		Real	'Sensitivity of the bus voltage magnitude due to a specified control change (per unit/control unit). at To Bus'
			SeriesCapStatus	ByPass	String	'Indicates whether or not branch is bypassed.  Normally this is only used with series capacitors'
			StepsToMove		Integer	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the maximum number of steps that the transformer can move at any time step when using delays.'
			StepsToMove:1		Integer	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the maximum number of steps that the transformer can move at any time step when using delays.  This is applicable when using the secondary regulation range. '
			SubID		String	'Substation ID string.  This is just an extra identification string that may be different than the name at From bus'
			SubID:1		String	'Substation ID string.  This is just an extra identification string that may be different than the name at To Bus'
			SubName		String	'Substation Name at From bus'
			SubName:1		String	'Substation Name at To Bus'
			SubNum		Integer	'Substation Number at From bus'
			SubNum:1		Integer	'Substation Number at To Bus'
			SurgeImpedanceLoading		Real	'Surge Impedance Loading'
			TimeDomainSelected		String	'Time Selected'
			TimeDomainSelectedXF		String	'Time Selected XF'
			TSACLineFromA		Real	'Transient Stability\Results\Amps From End'
			TSACLineFromAppImpR		Real	'Transient Stability\Results\App Imp R From'
			TSACLineFromAppImpX		Real	'Transient Stability\Results\App Imp X From'
			TSACLineFromAppImpZAng		Real	'Transient Stability\Results\App Imp Angle From'
			TSACLineFromAppImpZMag		Real	'Transient Stability\Results\App Imp Mag From'
			TSACLineFromP		Real	'Transient Stability\Results\MW From End'
			TSACLineFromQ		Real	'Transient Stability\Results\Mvar From End'
			TSACLineFromS		Real	'Transient Stability\Results\MVA From End'
			TSACLinePercent		Real	'Transient Stability\Results\Limit % Used'
			TSACLineRelayOther:1		Real	'Transient Stability\Results\Other Fields of AC Line Relay\Other  1'
			TSACLineRelayOther:2		Real	'Transient Stability\Results\Other Fields of AC Line Relay\Other  2'
			TSACLineRelayStates:1		Real	'Transient Stability\Results\States of AC Line Relay\State  1'
			TSACLineRelayStates:2		Real	'Transient Stability\Results\States of AC Line Relay\State  2'
			TSACLineRelayStates:3		Real	'Transient Stability\Results\States of AC Line Relay\State  3'
			TSACLineToA		Real	'Transient Stability\Results\Amps To End'
			TSACLineToAppImpR		Real	'Transient Stability\Results\App Imp R To'
			TSACLineToAppImpX		Real	'Transient Stability\Results\App Imp X To'
			TSACLineToAppImpZAng		Real	'Transient Stability\Results\App Imp Angle To'
			TSACLineToAppImpZMag		Real	'Transient Stability\Results\App Imp Mag To'
			TSACLineToP		Real	'Transient Stability\Results\MW To End'
			TSACLineToQ		Real	'Transient Stability\Results\Mvar To End'
			TSACLineToS		Real	'Transient Stability\Results\MVA To End '
			TSRelayName		String	'Names of the Line Relay types assigned to this branch'
			TSSaveACLineFromA		String	'Transient Stability\Save\Amps From End'
			TSSaveACLineFromAppImpR		String	'Transient Stability\Save\App Imp R From'
			TSSaveACLineFromAppImpX		String	'Transient Stability\Save\App Imp X From'
			TSSaveACLineFromAppImpZAng		String	'Transient Stability\Save\App Imp Angle From'
			TSSaveACLineFromAppImpZMag		String	'Transient Stability\Save\App Imp Mag From'
			TSSaveACLineFromP		String	'Transient Stability\Save\MW From End'
			TSSaveACLineFromQ		String	'Transient Stability\Save\Mvar From End'
			TSSaveACLineFromS		String	'Transient Stability\Save\MVA From End'
			TSSaveACLinePercent		String	'Transient Stability\Save\Limit % Used'
			TSSaveACLineRelayStates		String	'Transient Stability\Save\States of AC Line Relay'
			TSSaveACLineToA		String	'Transient Stability\Save\Amps To End'
			TSSaveACLineToAppImpR		String	'Transient Stability\Save\App Imp R To'
			TSSaveACLineToAppImpX		String	'Transient Stability\Save\App Imp X To'
			TSSaveACLineToAppImpZAng		String	'Transient Stability\Save\App Imp Angle To'
			TSSaveACLineToAppImpZMag		String	'Transient Stability\Save\App Imp Mag To'
			TSSaveACLineToP		String	'Transient Stability\Save\MW To End'
			TSSaveACLineToQ		String	'Transient Stability\Save\Mvar To End'
			TSSaveACLineToS		String	'Transient Stability\Save\MVA To End '
			TSSaveAll		String	'Transient Stability\Save\Save All'
			UseDelay		String	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  Set this to YES to implement the specified delays.'
			UseSecRegRange		String	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  Set this to YES to specify a secondary regulation range to be used when implementing delays.'
			UTMMGRS		String	'Geographic UTM/MGRS at From bus'
			UTMMGRS:1		String	'Geographic UTM/MGRS at To Bus'
			VpuOpenEnded		Real	'When the branch is open at the FROM bus, this is the per unit voltage at the FROM bus assuming the TO bus is operating at 1.0 per unit voltage'
			VpuOpenEnded:1		Real	'When the branch is open at the TO bus, this is the per unit voltage at the TO bus assuming the FROM bus is operating at 1.0 per unit voltage'
			XFActiveRegError		Real	'For actively controlling transformers only, this specifies the deviation of the regulated value of the transformer from the regulation Min/Max range.'
			XFAuto		String	'Indicates whether or not transformer is on automatic control'
			XFConfiguration		String	'Transformer: Configuration.  Note that the phase shift specified with the branch is used regardless of the configuration.  The configuration is only important for determining the grounding in the fault analysis'
			XFCoreType		String	'The core type of the transformer.  Either Unknown, Single Phase, Three Phase Shell, 3-Legged Three Phase, or 5-Legged Three Phase'
			XFFixedTap		Real	'Transformer: Fixed Tap at From bus'
			XFFixedTap:1		Real	'Transformer: Fixed Tap at To bus'
			XFGroundPathR		Real	'XF Ground Path Resistance'
			XFGroundPathR:1		Real	'XF Ground Path Resistance 2'
			XFGroundPathX		Real	'XF Ground Path Reactance'
			XFGroundPathX:1		Real	'XF Ground Path Reactance 2'
			XFIsAutoXF		String	'Specifies whether the transformer is an autotransformer.  Value can be either Unknown, Yes, or NO'
			XFLTCGenericSens		Real	'Sensitivity: Flow/Voltage with respect to Tap'
			XFMVABase		Real	'Transformer: MVA Base'
			XFNominalKV		Real	'Transformer: Nominal kV Base at From bus'
			XFNominalKV:1		Real	'Transformer: Nominal kV Base at To bus'
			XFOPFRegBinding		String	'Says YES if the Regulation limit is binding in OPF'
			XFOPFRegEnforceLimits		String	'Set to YES to enforce transformer regulation limits in OPF'
